	pol_Latn	csb_Latn
3009	kde in rybczynska. net	mark linuxcsb. org
3010	nadgarstek	nadgarstk
3011	krytycznie	kriticzno
3012	zalewać się	zalewac sã
3013	bieluń	òstropiérz
3014	wiotki	łęgji
3015	kiełbasiany	kôłbasny
3016	szkapa	kraka
3017	bezkompromisowość	nie jidzenié
3018	ametyst	ametist
3019	zgubiony	zgùbiony
3020	barista	kawiôrz
3021	śliwa	slëwa
3022	choć	abë
3023	wybrać się	wënëkac sã
3024	Grażyna	Grażina
3025	pochmurnoweather forecast	weather forecast
3026	Brak dostępu do stacji . Sprawdź, czy dyskietka w stacji jest sformatowaną dyskietką DOS ową i czy prawa dostępu do urządzenia np. dev fd są ustawione prawidłowo np. rwxrwxrwx.	Felëje przistãpù do nëkù . Sprôwdzë, czë disk w nëkù je sfòrmatowónym DOS owim diskã ë czë prawa przistãpù do ùrzãdzeniô np. dev fd są przënôléżno nastôwioné np. rwxrwxrwx.
3027	arbitraż	arbitraż
3028	szklanka	zejdel
3029	przetrzeć	przetrzéc
3030	chrześcijanin	chrzescëjón
3031	nienażarty	zjôdny
3032	Gra strategiczna	Strategicznô gra
3033	owijać	òwijac
3034	żywołapka	klapa
3035	bazyliszkowy	bazyliszkòwi
3036	kij	czijańca
3037	Widok szczegółowy drzewa	Detalowi wëzdrzatk
3038	orędownictwo	òrãdownictwò
3039	Otwórz odnośnik	Òtemkni lënk
3040	nastać	obstôwac wëchôdac
3041	List x w	Lëst x w
3042	kiełb	grul
3043	płaczliwie	płaczno
3044	Konwersja do KConfigXT	Kònwersëjô do KConfigXT
3045	małżeńskie	małżeńsczé
3046	Odmontuj urządzenieUnlock the encrypted container; will ask for a password; partitions inside will appear as they had been plugged in	Òdmòntëjë ùrządzeniéUnlock the encrypted container; will ask for a password; partitions inside will appear as they had been plugged in
3047	zmieniać	zmieniac
3048	Edytor gradientów	Editorë gradientów
3049	znieść	wëlëdac
3050	Przedstawiona jest lista skojarzeń klawiszy, np. skojarzenia zdarzeń jak Kopiuj, pokazanych w lewej kolumnie, z kombinacją klawiszy jak Ctrl V, widocznych w prawej kolumnie.	Tuwò je lësta przënôleżnoscë klawiszów z dzejaniama jakno Kòpérëjë, jaczé stoja w lewi szpalce, z zëstôwã klawiszów jakno Ctl V, jaczé je widzëc w prawi szpalce.
3051	imbirowy	ingwerowi
3052	krzywica	krzëwica
3053	łączyć się	złãczac sã
3054	Negatywny tekst na zwykłym tlecolor kcm set view	Tekst w negatiwie na zwëczajnym spòdlémcolor kcm set view
3055	chudzielec	zmiartélc
3056	Maćkowy	Macków
3057	zaaklimatyzować się	przënãcëc do jinszégò klima
3058	Polecenie zobacz s	Pòlét zdrzë s
3059	partnerować	dzejac
3060	linia	réżka
3061	dających darmo	darmòdajków
3062	gwizdnąć	gwizdnąc
3063	elektrociepłowniczy	elektrocepłowniczi
3064	Czy na pewno usunąć znacznik dla wszystkich plików?	Jes gwës tegò, że znakòwnik mô bëc rëmniãti dlô wszëtczcih lopków?
3065	płakać	skwierac
3066	odtańczyć	odtańcowac
3067	Błąd podczas intertowania pliku obrazu JPEG	Felô przë intertacëji lopkù z òbrôzã JPEG
3068	padlina	szczirz
3069	TuxRacer	TuxRacer
3070	trudnić się	zajëmac sã
3071	sportowiec	szpòrtówca
3072	mediatorski	pòjednawczi
3073	Litera, modyfikator	Lëtera, zmienioné
3074	młodość	młososc
3075	Trzrebielino	Trzebielëno
3076	rozlazły	dejowati
3077	Kevin Ottens info credit	Kevin Ottens info credit
3078	wciskać się	tarmòlëc sã
3079	pokosić	pòkòsëc
3080	Ivor Hewitt	Ivor Hewitt
3081	trucicielka	trëcëcelka
3082	księgarnia	ksążnica
3083	bekon	bekònë
3084	gąsiątko	piląteczkò
3085	ubogo	biédno
3086	nałgać	nałgac
3087	kupczenie	kùpiô
3088	Twardy dysk	Cwiôrdi Disk
3089	utrzymać	ùtrzëmac
3090	kanonik	kanonik
3091	Format wstawianego czasu i daty	Fòrmat wprowadzaniô czasu ë datuma
3092	Zwiększ wielkość czcionki	Zwikszë miarã tekstu
3093	drzewo	drzewò
3094	Brak metody .	Felëje pòłóżenié menu .
3095	Typ własny	Ôrt brëkòwnika
3096	Marcus Meissner	Marcus Meissner
3097	Włączony wyłącz w programie	Włączony wëłączë w programie
3098	dylowy	délowi
3099	Użyj CDDB	Brëkùjë CDDB
3100	Długa krawędź	Dłëdżi rańt
3101	Szybka gra RTS o komputerach, systemach, hakerach i sieciach.	Panika kernelu mòtoru grë Spring. Chùtkô gra RTS bez ekònomii.
3102	naderznąć	naderznąc
3103	Program narzędziowy przerwał działanie, ale został uruchomiony ponownie. Proszę spróbować jeszcze raz.	Programa robiacô w spódkù załôma sã, òsta równak zrëszonô znowa. Proszã spróbùjë znowa.
3104	Dodaj numer faksu z książki adresowej.	Dodôj numer faksa z adresowi knéżczi.
3105	łaskotki	łëzgòtë
3106	manowcami	drożëszczama
3107	zmora	mòrzeszcze
3108	strach na wróble	hómpelman
3109	niedomagać	słabòwac
3110	dyszel	cigło
3111	http technorati. com tag \\\\ {}? sourceid=kde search	http technorati. com tag \\\\ {}? sourceid=kde search
3112	stopka	stopka
3113	Nad	Nad
3114	Tylko użyj czarnego wygaszacza ekranu	Brëkùjë le pùstégò wëgaszôcza ekranu
3115	tsitek zie. pg. gda. pl group second level high scores	michol linuxcsb. org group second level high scores
3116	sala taneczna	tuńcowniô
3117	odstawianie	òdstôwianié
3118	Ocean Indyjski Mauritius	Indijsczi Òcean Mauritius
3119	mężnieć	stawac sã chłopã
3120	Uaktualnianie	Aktualizacëjô
3121	osiem	òsmë
3122	Nie można wysłać rankingu.	Ranking nie mô òstac wësłóny
3123	związek	cech
3124	Europa Sarajewo	Eùropa Sarajewò
3125	pozdrawiać	pòzdrawiac
3126	godnie	czestnie
3127	narzędzie	nôrzãdzé
3128	azotniak	szit azotowi
3129	Zunifikuj wyjścia	Ùnifikòwóné wińdzenia
3130	kadrowiec	kadrówc
3131	Zamień czarny na biały, inne na czarny	Zamieni czôrny na biôłi, jine na czôrny
3132	Dokumentacja info shell	Dokùmentacëjô info shell
3133	czyścidło	czëszczëdło
3134	ponacinać	pònacyc
3135	Konsola powłoki	Kònsola skriptu pùltu
3136	salon	paradnica
3137	zmęczony	mëdich
3138	opuszczać	òpùszczac
3139	przebiec	przelecec
3140	mielizna	snôdzezna
3141	łabędź niemy	sniegùlc
3142	Pomyślnie dowiązano. info status	Ùdało dowiązóné info status
3143	agentka	agentka
3144	Gra	Gra
3145	Bez rozpraszania	Felënk nëkaniô
3146	przyrostki izedictionary variant	sufiksë izedictionary variant
3147	Tczew	Dërszewò
3148	przebywać	biwac
3149	aluminiowy	aluminiowi
3150	gadatliwy	rozmòwny
3151	markiz	markiz
3152	Aktywna label The icon rendered as disabled	Aktiwné label The icon rendered as disabled
3153	ponakradać	pònakrasc
3154	pasterski	pasturzów
3155	na skos	szlëdrã
3156	Zamknięcie systemu	Ôrt zamkniãcô systemù
3157	# Ustawienie opcji zarządzania energią. # Jeśli podano opcję scheme, to ustawiany jest schemat # odpowiadający value # Jeśli podano opcję cpufreq, to ustawiana jest polityka # określania częstotliwości procesora odpowiadająca value	# Ùstawiô òptacëje sprôwaniô energiją systemë. # jeżlë òptacëjô scheme je pòdónô, schemat sprôwaniô # energiją ùstawiony je na wôrtnotã # jeżle òptacëjô cpufreq je pòdónô, pòlitika czãstotlëwòscë CPU # ùstawiô na wôrtnotã
3158	Nie można zamontować urządzenia. Otrzymany komunikat błędu	Ni mòże zamòntowac ùrządzenia. Wiadło felë
3159	pasterka	pastuszka
3160	puszczony	zapùszczony
3161	faworki drożdżowe	radikùchë
3162	przedłużyć	przewléc
3163	oprawka	oprôwk
3164	Bardzo prosty plik źródeł C, GPL	Baro prosti GPL C zdrojowi lopk
3165	Ten katalog jest pusty.	Nen katalog je pùsti.
3166	TVA button on a Remote Control	TVA button on a Remote Control
3167	Drukowanie wygładzane tusz BC	Gładczé drëkòwanié tińta BC
3168	dopóty	dotądka
3169	pogranicze	przëgrańczé
3170	mąka	mąka
3171	kalesony	spódné bùksë
3172	Laura	Laùra
3173	golić	gòlëc
3174	Pod	Pòd
3175	Symbol, waluta	Symbòl, waluta
3176	Usługi Last. fm	Serwisë Last. fm
3177	łacina	łacëzna
3178	suknie	czitle
3179	żarenka	żôrenka
3180	herbata miętowa	harbata z lëstów miãtë
3181	Uzupełnienie gruzińskiegoKCharselect unicode block name	Dofùlowanié gruzëjsczégòKCharselect unicode block name
3182	Dla tego programu nie zostały określone warunki licencji. Proszę sprawdzić dokumentację lub źródła tego programu, aby znaleźć licencję.	Felëje wëdowiédzô ò licencëji dlô ti programë. Proszã sprôwdzëc dokùmentacëjã abò zdroje programë, bë nalezc licencëjã.
3183	karczować	kôrczowac
3184	żółtko	żôłtkò
3185	srogość	strogòsc
3186	Praca bez sieci	Robòta bez sécë offline
3187	nieświadomy	nieswiadomi
3188	nakrzesać	nakrzosac
3189	tępość	tãpòsc
3190	kucharczyk	kùcharczik
3191	Odznacz element	Òdznaczë element
3192	czechizowanie się	czechizowanié sã
3193	wymacać	ùmaklac
3194	CapsLock	CapsLock
3195	Rozszerzenia fonetyczne	Fòneticzné rozszérzenié
3196	Peseta hiszpańska	Szpańskô Peseta
3197	krowa	pestrocha
3198	Nie udało się połączyć z modułem indeksowania Strigi info status	Felënk sparłãczeniô z indeksownikã Strigi info status
3199	Kolorowe linie	Kolor Lines
3200	opadać	òpadac
3201	Skontaktuj się z autorem	Łączba z ùsôdzcą
3202	Ta usługa umożliwia konfigurację Kosza.	Na ùsłëżnota zezwôlô na kònfigùracëjã kòsza.
3203	przesiedlać	przesedlac
3204	pucczanka	pùcónka
3205	kulawka	kùlawica
3206	Odbicie poziome	Hòrizontalné òdbicé
3207	bezkorzenny	bez kòrzenia
3208	ratownik	retôrz
3209	Działa	Sztatus
3210	Rob	Rob
3211	wytrzeźwieć	wëtrzézwiec
3212	błoto	kôł
3213	arcyksiążęcy	arcyksążãcy
3214	barbaryzm	cëzëna w mòwie
3215	oszańcowanie	obszuńcowanié
3216	Nakładka Amaroka na twój serwer Ampache.	Nakłôdka Amaroka na twòją serwerã Ampache.
3217	wyprzedzić	przescygnąc
3218	pech	niszcz
3219	Pasek zadań może grupować podobne okna w jeden przycisk. Kiedy kliknie się na takim przycisku, pojawia się menu zawierające wszystkie zgrupowane okna. Opcja ta jest szczególnie pożyteczna w połączeniu z opcją Pokaż okna ze wszystkich pulpitów. Można skonfigurować pasek narzędzi tak, by nigdy nie grupował okien, zawsze grupował okna, albo tylko przy pełnym pasku zadań. Domyślnie okna są grupowane tylko przy pełnym pasku zadań.	Lëstwa dzejaniów mòże grëpòwac juwerné òkna w jedną knąpã. Czedë klëknié sã na taczé knąpie, zjôwiô sã menu zamëkającé w se wszëtczé zgëpòwóné òkna. Òptacëjô na je òsoblëwie pòżëtnô w sparłãczeniém z òptacëją Pòkôżë òkna ze wszëtczéch pùltów. Mòże skònfigùrowac lëstwã nôrzãdzów tak, żebë nigdë nie grëpòwôła òknów, wiedno grëpòwôła òkna, abò blós przë fùl lëstwie dzejaniów. Domëszlno òkna są grëpòwóné blós przë fùl lëstwie dzejaniów.
3220	bodliwy	bòdlëwi
3221	barani	skòpòwi
3222	makaroniarnia	wëtwórniô nudlów
3223	opadać z sił	czamiec
3224	cera	miazdra
3225	ciężarna	bagnô
3226	konik	fiurofaj
3227	Ulewyweather forecast	weather forecast
3228	pan młody	brutman
3229	dwuznaczność	dwùznacznosc
3230	tyłek	dupa
3231	drąg	drąg
3232	a!	në!
3233	Proszę dla tego dysku sieciowego Microsoft Windows podać nazwę, jak również adres serwera, port i ścieżkę foldera, a następnie proszę nacisnąć przycisk Zapisz i podłącz.	Proszã wpisac miono dlô tegò sécowegò diskù Microsoft Windows, a téż adresã serwerë, pòrt ë stegnã do katalogù, a zôs wcësnąc knąpã Zapiszë ë pòłączë.
3234	rozmiękczać	mikczëc
3235	sprowadzić	sprowadzëc
3236	Kidlón	kidlón
3237	Następstwo Boolowskie	Logiczné nastãpstwò
3238	Lekka zamarzająca mżawkaweather condition	weather condition
3239	łypać	zdrzec
3240	naciskać	nacëskac
3241	Nie można uruchomić procesu faksującego.	Nie mòże zrëszëc procesu faksowaniô.
3242	udowy	ùdowi
3243	kręcić się	mòtac sã
3244	Okna znajdują się poniżej	Òkna jidą pòniżi
3245	Nowa nazwa komputera	Nowé miono kòmpùtra
3246	docucić się	docucëc sã
3247	noga	noga
3248	ścielić	scelëc
3249	Kolor tekstu	Farwa tekstu
3250	To miejsce przeznaczone jest na widoki, które zawiera karty. Aby dodać nowy czujnik trzeba utworzyć nową kartę. W tym celu wybierz z menu Plik > Nowy.	To je twój môl pamiãcë wëmianë. Ùtrzëmùjë twòjé kôrtë. Mùszisz ùsôdzëc nową kôrtã Lopk > Nowi nigle naczniesz przecygac tuwò sensorë.
3251	żuraw studzienny	gąsork
3252	Pokaż ikony programów	Pòkôżë ikònë programów
3253	iżby	jeżbë
3254	regułka	regùłka
3255	estetyczny	fëjny
3256	książka	ksążka
3257	Wykorzystanie partycji	Wëzwëskanié particëji
3258	zmarnieć	zgargùlec
3259	sidlić	sydlëc
3260	zasiecznica	rëchôłt
3261	wierzyć	wierzec
3262	polać	pòdlôc
3263	Marta RybczyńskaEMAIL OF TRANSLATORS	michol linuxcsb. org, mark linuxcsb. orgEMAIL OF TRANSLATORS
3264	certolić się	przecëwiac sã
3265	czapkowanie	pòdlizywanié sã
3266	kłoda	kłoda
3267	kołysać się	bùjac sã
3268	marszczyć	môrlëc
3269	kaszubić	kaszëbic
3270	rozpychać	rozpëchac
3271	pączek popiołowy	pączk
3272	barek	bark
3273	choreograficzny	chòreograficzny
3274	zapędzić się	zapãdzëc sã
3275	Użyj arkusza stylów	Brëkùjë bógã sztélów
3276	buddysta	bùddista
3277	Demy Quarto	Demy Quarto
3278	MpegTV	MpegTV
3279	Sprawdzanie w trakcie pisania wyłączone.	Wëłączoné sprôwdzanié òb czas pisaniô.
3280	Ta usługa umożliwia konfigurację trybów widoku Dolphina.	Na ùsłëżnota pòzwôlô na kònfigùracëjã ôrtów wëzdrzatkù Dolphina.
3281	Wiktor	Wiktór
3282	Tyłowo	Tëłowò
3283	Element menu nie może być podświetlony.	Element menu nie mòże bëc pòdsztrëchniãti.
3284	światowość	swiatowòsc
3285	anima	dësza
3286	bezsennie	bez spaniô
3287	zabicie	zabicé
3288	amerykanizm	amerikanizm
3289	pasztecik	pasztetk
3290	pieprz	pieprz
3291	Nieprawidłowa kolejność bajtów.	Léchi pòrządk bajtów
3292	małostkowość	pamiãtlëwòsc
3293	zanadrze	pazecha
3294	buzować	bùzowac
3295	obłoczek	blónik
3296	elektryfikować	elektrifikòwac
3297	dług	dług
3298	Konwertuje obraz do przestrzeni kolorów RGBconvert	convert
3299	np.	np.
3300	uogólniać	òglëc tr
3301	Procesor PA RISC	Procesora PA RISC
3302	krasnalunio	krôsniąteczkò
3303	peklowac	zaprawic
3304	niepodzielny	niedzélowny
3305	połóg	szestnica
3306	okulawieć	schromiec
3307	Kate Zaawansowany edytor tekstu dla KDE	Kate Awansowóny editora tekstu
3308	tupać	tëpac
3309	destylator	destilatór
3310	Docelowy zasób nie ma wystarczającej ilości miejsca do przechowania stanu zasobu po wykonaniu tej metody. request type	request type
3311	Średnia wielkość czcionki	Strzédnô miara fònta
3312	dpi, kolor, pojemniki z atramentami czarnym i kolorowymi	dpi, farwa, zabiérniczi z tintama czôrną ë farwnëma
3313	Wybrałeś opcję wyświetlania okna bez obramowania. Bez obramowania nie będzie możliwe włączenie obramowania przy użyciu myszy. Jedyna możliwość to użycie menu operacji na oknie, wywoływanego skrótem klawiszowym.	Môsz wëbróną òptacëjã wëskrzëniwaniô òkna bez grańców. Bez grańców òkna nie mdze mòżlewòtë włączeniô znowa grańców brëkùjąc mëszë; nót mdze brëkòwac menu òperacëji na òknie, jaczé wëwołôsz klawiszową skrodzëną .
3314	Chiński	Chińsczi
3315	łatać	łatac
3316	zmarszczyć się	pòmôrlëc sã
3317	młynkowy	młinkòwi
3318	długość	dłëgòsc
3319	Łysa Góra	Łëska
3320	dmoll	dmòll
3321	Okno ostrzeżenia z klawiszami Tak Nie	Òkno òstrzédżi z knąpama Jo Nié
3322	zbić	zbic
3323	Florin arubański	Arubańsczi Florin
3324	Wprowadź w tym miejscu tytuł widoku.	Wprowadzë w tim môlu titel bòdżi.
3325	grupuj	Grëpòwóny
3326	meble	zachë
3327	Znajdź następne	Nalezë zôstne
3328	Twój komputer nie wspiera elementów interfejsu wymagających OpenGL.	Twój kòmpùtr nie wspierô apletów OpenGL.
3329	znicz	znit
3330	Brak czerni	Felënk czôrnégò
3331	porzeczka	swiãtojanka
3332	Biesowice	Biésojce
3333	Deszcz, krupy śnieżneweather condition	weather condition
3334	spłynąć	naplënac
3335	zęby marchwiane	marchiewné zãbë
3336	zamknąć	stulëc
3337	domyślać się	docëgac so
3338	kończy się na	kùńczë sã na
3339	URL do otwarcia	Adresa do òtemkniãcô
3340	uciszyć	ùpòkòjic
3341	Dane osobowe	Priwatne pòdôwczi
3342	Błąd podczas drukowania plików	Fela òbczas drëkòwaniô lopkù
3343	Poziom?	Równiô?
3344	wykręt	wëkrãt
3345	Antarktyda McMurdo	Antarktida McMurdo
3346	biało mleczny	mlécznobiôłi
3347	penicylina	penicylina
3348	Zmiana wielkości czcionki	Zmiana miarë fònta
3349	kde in rybczynska. net	Michôł Òstrowsczi, Mark Kwidzińsczi
3350	pochwalić się	pòchwalëc sã
3351	Mysz option check Mouse Settings	Mësz option check Mouse Settings
3352	Kolor CRET	Farwa CRET
3353	Proste okno	Prosté òkno
3354	zanim	nigle
3355	mamona	mamóna
3356	Bronisław	Barnisłôw
3357	marchew	spiéwónka
3358	Jeśli ta opcja jest zaznaczona, obramowania okien będą rysowane za pomocą koloru paska tytułowego. W przeciwnym razie będą one miały kolor tła.	Jeżlë ta òptacëjô je zaznaczonô, ògreńczenia òknów bãdą céchòwóné farwą titlowi listwë. W procëmnym razu bãdą miôłe òne farwã spòdlégò.
3359	czambuł	czambùł
3360	czkać	czikòtac
3361	szaro	szaro
3362	Standardowy	Sztandardowi zabiérnik
3363	przywiązanie	miłosc
3364	bezzwłocznie	zarô
3365	biedronka	lëtewniczka
3366	semestr	semestr
3367	Moduł paska bocznego z historią	Mòduł historëji bòczny listwë
3368	gnojnica	tëmrôk
3369	przemienić	przekabacëc
3370	rozpowszechniać się	szerzëc sã
3371	bezpośrednio	prosto
3372	adorator	adoratór
3373	pietruszkowy	piotrëszkòwi
3374	Ten sam pośrednik dla wszystkich protokołów	Ten sóm pòstrzédnik dlô wszëtczich protokòlów
3375	nawozić marglem	sôc mardżel
3376	Podstawowa dokumentacja	Pòdspòdlowô dokùmentacëja
3377	Jeśli ta opcja jest włączona, KDM będzie używał poniższych ustawień tła. W przeciwnym razie tło będzie ustawiane poza KDM, zazwyczaj przez uruchomienie programu typu xsetroot w skrypcie podanym w opcji Setup= w pliku kdmrc zazwyczaj skryptem tym jest Xsetup.	Jeżlë te òptacëjô je włączonô, KDM bãdze brëkòwôł ùstôwów spòdlégò pòdónëch niżi. W procëmnym razuspòdlé bãdze ùstôwióné pòza KDE, zwëkòwò przez zrëszenié programë ôrtu xsetroot w skripce pòdónym w òptacëji Setup= w lopkù kdmrc zwëkòwò skriptã tim je Xsetup.
3378	Program do zrzutów ekranu	Programa do zdrzucënkù ekranu
3379	cudzoziemski	cëzozemsczi
3380	zabijać	szlachtowac
3381	biżuteria	przedmiotë òzdobné
3382	Hausa	Hausa
3383	Typy plików	Ôrtë lopka
3384	zlew	zléw
3385	wzięty	zawòłóny
3386	jest w ostatnich	je w slédnëch
3387	dekarka	dakôrka
3388	Zaznaczenie	Wëbiérk
3389	pożądliwy	żądny
3390	BhādrapadIndian	BhādrapadIndian
3391	alleluja	aleluja
3392	przefrymarczyć	przetracëc
3393	gospodarski	gòspòdarsczi
3394	paternoster	wëkrziczka
3395	Włącz powiadamianie o uruchamianiu	Włączë òdkôzanié ò zrëszanim
3396	tancerz	tanecznik
3397	pastor	dich
3398	Znajdź poprzednie	Nalezë pòprzédné
3399	przedrzeźniać	wërãpiac
3400	płócienny	płótniany
3401	gwóźdź rozporowy	rozwórznik
3402	strawić	stranowic
3403	W wykresie	Bënowô grafika
3404	sobek	skamżoch
3405	przedziałka	przegródka
3406	Nie można znaleźć żadnych grup roboczych w Twojej sieci lokalnej. Może to być spowodowane zablokowaniem portów na firewallu.	Nie mòże nalezc niżódnëch robòczëch karnów w Twòji môlowi sécë. Mòże to bëc sprawioné bez zablokòwanié pòrtów na firewallu.
3407	przywoływanie kacząt	wit! wit! wit!
3408	Konfiguracja kart bezpieczeństwa SmartCards	Kònfigùracëjô kartów bezpiekù SmartCards
3409	chodzić	łazëc
3410	Platforma KDE jest kompilowana ze źródeł info	Kòmpilacëjô KDE ze zdroju info
3411	Błędne dane raportu info messagebox question. is the close state explanation	Lëché pòdôwczi rapòrtu info messagebox question. is the close state explanation
3412	Rok Album	Rok Albùm
3413	Proszę podać trochę informacji o sobie.	Proszã pòdac përzna wëdowiédzë ò se.
3414	przytomny	przëtómny
3415	Domyślny ASpell Spelling dictionary dictionary name	ASpell Domëszlny Spelling dictionary dictionary name
3416	awansowany	wëwëższony
3417	bajać	bajic
3418	W kontekście dla działania SSL error	Ni mòże nalezc wtëkôcza dlô aplikacëji
3419	Styl, który dobrze pasuje do zestawów kolorów o wysokim kontraście	Sztél dlô schemë farwów ò wësoczim kòntrasce
3420	afera	szwindle
3421	detaliczny	detaliczny
3422	Otwiera nowe okno menedżera plików, pokazujące cel tego odnośnika w katalogu nadrzędnym.	Òtmëkô nowé òkno menadżera lopków pòkazëjącë na cél negò lënka w jegò nôdrzãdnym katalogù.
3423	Program wykonuje zadań w wątkach. Każde zadanie czeka losową liczbę milisekund między a.	Programa robi robòtów w wątkach. Kòżdô robòta żdô na przëtrôfkòwą wielënã milisekùndów midzë a
3424	zasypywać	zasëpòwac
3425	Wytnij zaznaczony tekst lub element y do systemowego schowka Wyciętą zawartość można następnie wstawić poleceniem Wklej w Konquerorze i innych programach KDE.	Wëtni wëbróny tekst abò element ë systemòwégò tacnika Wëcãtô zamkłosc mòże pózdni wlëpic pòlétã Wlëpi w Konquerorze ë jinszëch aplikacëjach KDE.
3426	Usługa indeksowania plików dla wyszukiwania	Indeksownik serwisu szëkbë lopków
3427	mastodont	mastodont
3428	Używaj odbijających klawiszy	Brëkùjë òdbijającëch klawiszów
3429	snadno	nosładnje
3430	domostwo	domôctwò
3431	odciągać	òdcëgac
3432	obietnica	òbiecónka
3433	naginać	nadżibac
3434	choroba	chëra
3435	kobieta niechlujna	swiniôrka
3436	hrabski	grôfów
3437	przemyć	przemëwac
3438	niesposób	nie je mòżno
3439	Wymieszaj puzzle	Wëmiészôj elementë
3440	zaświędzieć	zagôłdzëc
3441	ważka	wôżka
3442	dłoń	dłóniô
3443	kłócić	tôklowac
3444	Roman Becker	Roman Becker
3445	naród	naród
3446	zmęczyć się	zmachcëc sã
3447	egzekutor	gzekùtnik
3448	Historia dokumentu	Historëjô dokùmentów
3449	Menedżer usług	Menadżera ùsłëżnotów
3450	brać początek	pòchòdzëc
3451	koń kary	rap
3452	Janość..Kontrast..	Jasnota..Kòntrast..
3453	żuraw	dwiżnik
3454	baran	baran
3455	krzywa sosna	kòszlôk
3456	żądza	prażenié
3457	niezdarność	niezdarnosc
3458	dozorczyni	szpektorka
3459	gnida	gnidka
3460	doliczać	doliczac
3461	spróchniały	krëchi
3462	poddany	pòddóny
3463	nieść śmierć	cygnąc
3464	drapanie	drapanié
3465	pomnik	pòmnik
3466	żartobliwie	szportowno
3467	stpJasność..	stpWidnosc..
3468	bitność	wòjarskòsc
3469	http search. metacrawler. com crawler? general=\\\\ {} method=cat=Webtarget=metaworldredirect=webrpp=hpe=region=out=sort=format=betatheme=classicrefer=mc searchrefer=mc search	http search. metacrawler. com crawler? general=\\\\ {} method=cat=Webtarget=metaworldredirect=webrpp=hpe=region=out=sort=format=betatheme=classicrefer=mc searchrefer=mc search
3470	asygnować	asygnowac
3471	tamto	tamno
3472	pysznić się	bùsznic sã
3473	Możliwy deszczweather forecast	weather forecast
3474	Marcinkowy	Môrcynków
3475	bekać	bekac
3476	parszywiec	parch
3477	zajść	zańc
3478	melaminowy	melaminowi
3479	Przodkowo	Przedkòwò
3480	zauważać	merkac
3481	pogrozić	pògrozëc
3482	alteracja	alteracjô
3483	dokonany	dokònóny
3484	źródło	pòczątk
3485	paskudnie	brzëdkò
3486	a tre	we troje
3487	pobliski	pòblësczi
3488	maglowy	mãglowi
3489	Reset	Zrëszë znowa
3490	okręcać	òwijac
3491	Odwiedź witrynę komiksuan abbrevation for	Òbaczë starnã kòmiksuan abbrevation for
3492	Jednokierunkowy	Jednoczérënkòwi
3493	uprawna	radela
3494	Wymuś domyślne cienie dla	Wëmùszë sztandardową ceniã dlô
3495	units	KiBunits
3496	obmywać się	òbmëwac sã
3497	Mniejsze niż. lt a, b =a < b	Mniésze jak. lt a, b =a < b
3498	Nie możesz cofnąć ruchu. Jeszcze nie wykonałeś żadnego!	Co chcesz copnąc? Jesz nick ni môsz zrobioné!
3499	Ewa	Éwa
3500	Wydruk próbny, odcienie szarości czarny atrament	Próbny wëdrëk, cenie szaroscë czôrnô tińta
3501	Nie znaleziono strony podręcznika dla . Proszę sprawdzić, czy nazwa poszukiwanej strony została wpisana poprawnie. Wielkość liter też ma znaczenie! Jeśli wszystko wygląda poprawnie, być może trzeba rozszerzyć listę przeszukiwanych ścieżek albo ustawiając zmienną środowiskową MANPATH, albo edytując odpowiedni plik w katalogu etc.	Nie je nalazłô niżódnô starna pòmòcë dlô . Proszã sprôwdzëc, czë miono szëkóny starnë òstało wpisóné bezzmiłkòwò. Bôczënk wôlgòsc lëterów je wôżnô! Jeżle wszëtkò wëzdrzi fejn, to mòże nót je rozcygnąc lëstã przëszëkiwónëch stegnów abò ùstawiając zmienną MANPATH abò editëjąc gwësny lopk w katalogù etc.
3502	nosić się z zamiarem	zamëszlac
3503	Turek	Tërk
3504	pamiętliwy	spamiãtlëwi
3505	kocię	kòcątkò
3506	śledź	slédz
3507	Wymuś drukowanie tylko od lewej do prawej redukuj powstawanie pasm	Wëmùszë drëkòwanié blós od lewa do prawa redukùjë robienié strépków
3508	zagrać aktorsko	przedstawiac
3509	naczółek	blësnik
3510	NextNotSpotColourPage	NextNotSpotColourPage
3511	Pokaż komunikat o końcu gry	Wëskrzëni wiadło ò kùńcu grë
3512	odkrywca	òdkriwca
3513	który	chtëren
3514	nadąsany	zmarkòtniałi
3515	Plik istnieje	Lopk òbstoji
3516	Ostatni dzień roboczy tygodnia	Pierszi robòczi dzéń tidzénia
3517	bałwochwalczy	bôłwòchwôlczi
3518	wrzosowi	wrzosowi
3519	Will Stephenson	Will Stephenson
3520	blachownia	fabrika blachë
3521	B ISO	B ISO
3522	majoryzować	przegłosowëwac
3523	bębnienie	bãbnienié
3524	niewolnictwo	niewòlnictwò
3525	nawieźć	nawiezc
3526	edytor	wëdôwca
3527	cioteczny	coteczny
3528	Menadżer postępu	Menadżer pòkrokù
3529	dziedzictwo	spôdkòwizna
3530	Hiperboliczny arcus cosinus	Hiperbòlikòwi arkùs kòsynus
3531	obojczyk	òbòjczik
3532	programista wsparcie dla apletów Javy i innych osadzonych obiektów	Ùsôdzca apletë Javë ë jinszé òbiektë
3533	Proces zakończył działanie, ale proces rodzica nie wykonał czyszczenia.	Proces zakùńczëł dzejanié, le wëższi proces ni zrobił czëszczeniô.
3534	wydmuchiwać	wëdmùchòwac
3535	licho	lëchò
