	pol_Latn	csb_Latn
14814	bladawò	bladawo
14815	pasywa	pasywa
14816	szytornik	nicpoń
14817	Prokòp	Prokop
14818	pôch	aromat
14819	nie je	nie jest
14820	ùczale	z erudycją
14821	szkółka	szkółka
14822	Òbrôzczi CRD	Obrazki CRD
14823	gilotina	gilotyna
14824	Òla	Ula
14825	kropielniczka	biedronka
14826	obwiązanié	obwiązanie
14827	Réga	Kolejka
14828	John Tapsell	John Tapsell
14829	zaskòlëc	zaskomleć
14830	pòjezdzéc	pojeździć
14831	kréz	powiat
14832	wostrzega	ostrzeżenie
14833	splesniec	spleśnieć
14834	Léga	Zakotwicz warstwę
14835	mùrk	murek
14836	remijôsz	opryszek
14837	przełamic	przełamywać
14838	żniwò	płody rolne
14839	Demòn dôwaniô wiédzë dlô KDE	Serwer powiadamiania KDE
14840	drobòtac	dreptać
14841	dlôcze	dlaczego
14842	skòt	bydło
14843	Aùtomatné	Automatyczne
14844	pak	paczka duża
14845	pòmieszczenié dlô lwów	lwiarnia
14846	trzepac	walać
14847	czekawi	ciekawy
14848	przelatac	przebiegać
14849	karownik	taczkarz
14850	kóńczątkò	źrebiątko
14851	Pòrada dnia	Porada dnia
14852	prëkólc	bretnal
14853	zegnac	zegnać
14854	Lokacëjô je pùstô. info status	Adres jest pusty. info status
14855	Òdrzucë	Odrzuć
14856	aktorsczi	aktorski
14857	Farwa wòdnégò merkù	Kolor znaku wodnego
14858	Spòldowi nastôw Dolphina	Ustawienia Dolphina
14859	biesada	feta
14860	pòdatk	akcyza
14861	kòprowi	miedziany
14862	Damroka	Damroka
14863	Stefan Bogner	Stefan Bogner
14864	ahistoriczny	ahistoryczny
14865	Menadżera sécë	Zarządzanie siecią
14866	"Tuwò mòżesz ùstawic dzesątkòwi dzelôcz brëkòwóny do wëskrzëniwaniô lëczbów zwëkòwò je to kòma abò pùnkt. Bôczënk Dzesątkòwi dzelôcz dlô dëtkòwëch sëmów ùstawióny je na kôrce ""Dëtczi."""	"Tutaj możesz ustawić separator dziesiętny używany do wyświetlania liczb zazwyczaj jest to przecinek lub kropka. Uwaga Separator dziesiętny dla kwot pieniężnych jest ustawiany osobno na karcie ""Waluta."""
14867	garłôcz	krzykacz
14868	zgadzac	godzić
14869	bezpòtomno	bezpotomnie
14870	serenada	divernto
14871	Rãczné òbrôzczi	Grafika ręczna
14872	pòdłożé mascowé	podłoże maściowe
14873	jitrzëc	jątrzyć
14874	Bòrôczka	Boraczka
14875	rąkla	pastewny burak
14876	weather condition	Śnieg, zamarzający deszczweather condition
14877	makòwi kùch	makowiec
14878	Jeżlë na òptacëjô je włączonô, kòżdé wëstãpienié\\ N, dze N je całowną wielëną, òstanie zastãpioné pasownym wëslôwiã w klamrach z mùstra. Bë ùżëc prôwdzëwegò\\ N w zastãpùjącym nôdpisë, nót je wstôwic przed nim dodôwny sztriszk na szôrc na nen ôrt\\\\ N.	Jeśli ta opcja jest włączona, każde wystąpienie\\ N, gdzie N jest liczbą całkowitą, zostanie zastąpione odpowiednim wyrażeniem w nawiasach ze wzorca. Aby użyć prawdziwego\\ N w napisie zastępującym, należy umieścić przed nim dodatkowy ukośnik w ten sposób\\\\ N.
14879	smiészk	śmieszek
14880	sklący papiór òdjimny	Papier błyszczący fotograficzny
14881	szifrowi	łupkowy
14882	Hanunoo	Hanunoo
14883	skarga	skarga
14884	òwrzodzëc	owrzodzić
14885	wëjątkù	bezwyjątkowo
14886	pòdfedrowóny	awansowany
14887	markòtny	nadąsany
14888	Dzejania dlô	Działania dla
14889	teater	teatr
14890	Ùgwësnij sã, że paczét samba òstôł bezzmiłkòwò zainstaloóny w Twòjim systemie.	Proszę się upewnić, że pakiet samba został poprawnie zainstalowany w Twoim systemie.
14891	asekùranctwò	asekuranctwo
14892	pasternôk	pasternak
14893	Domëslné zachòwanié	Zachowanie domyślne
14894	nieprzistãpne	niedosępne
14895	augùstiańskô regùła	augustiańska reguła
14896	piôrd	piard
14897	pòlubic	służyć
14898	żebë	ażeby
14899	bezdejny	bezideowy
14900	autoritatiwny	miarodajny
14901	strëpòwati	strupowaty
14902	niepòrządny	bałaganiarski
14903	péplanié	paćkanina
14904	Szpéglëjë starnë	Odbij strony
14905	Jeden grôcz	Jeden gracz
14906	kòpactwò	grabarstwo
14907	szafòwac	szafować
14908	penitencjarny	penitencjarny
14909	błąkac sã	błąkać się
14910	rozpinac	rozpinać
14911	weather forecast	słonecznieweather forecast
14912	babùszczëny	babciny
14913	elektrokardograf	elektrokardiograf
14914	szafka	szafka
14915	pògardlëwi	pogardliwy
14916	zwielokrotnik	powielacz
14917	Ni môsz dosc prawa bë zmienic planowanié ë prioritet IO, króm tegò pòkôza sã fela przë zrëszaniu jakno sprôwnik. Fela	Nie masz wystarczających uprawnień, żeby ustawić priorytet I O. Wystąpił też problem podczas próby działania jako administrator. Kod błędu
14918	Na gwës włączëc , a wëłączëc ë ?	Czy naprawdę chcesz włączyć , a wyłączyć i ?
14919	sznëpelnik	chustka
14920	strata	ubytek
14921	tracëc	tracić
14922	Nie dawôj zgòdë	Nie zezwalaj
14923	młink	młynek
14924	Amerika Moncton	Ameryka Moncton
14925	kwiatowi	kwiatowy
14926	mlczarsczié	nabiałowy
14927	Sztefón	Stefan
14928	szorf	gagatek
14929	natoczëc sã	natoczyć
14930	kariera	kariera
14931	òdegrzôc	odgrzać
14932	weather forecast	Zanikająca mgła lodowaweather forecast
14933	cwiardi trójzwãk	durowy trójdźwięk
14934	nôleżnictwò	członkostwo
14935	Żukòwò	Żukowo
14936	wskazëwac	określać
14937	bard	bard
14938	czekawi	atrakcyjny
14939	chòchla	chochla
14940	łëżka	trochę
14941	zadłëżac sã	zadłużać się
14942	bùms	bum
14943	dwórznik	ekonom
14944	Białi na czôrnym	Biały na czarnym
14945	brat	brat
14946	Flitrë AdBlocK	Filtry AdBlocK
14947	wëwiezc	wywieźć
14948	łajno	łajno
14949	prosëc	prosić
14950	Alexander NeundorfState of network card is connected	Alexander NeundorfState of network card is connected
14951	zachwianié sã	chybnięcie się
14952	Sprôwianié kòmpùtrãBARSettings for common user needs tab in System Settings.	Administracja systemuBARSettings for common user needs tab in System Settings.
14953	kabelk	kabel
14954	pajicznikòwi	październikowy
14955	grëzc	gryźć
14956	Brëkùjë CDDB	Sprawdzenie CDDB.
14957	Przeniesë do kòsza skùńczoné òperacëje. info status	Ukończono przenoszenie do kosza. info status
14958	Jądro systemë	Jądro systemu
14959	żenic	dawać za mąż
14960	przeczëniôk	przerób
14961	bój sã	boga
14962	miesączkòwac	mieć miesiączkę okres
14963	òpãtac	opętać
14964	odpòjąc	odkiełznać
14965	nórt	kraniec
14966	zmieszac	zmieszać
14967	Sélanié pòdôwków do	Wysyłanie danych do
14968	miec służbã	dyżurować
14969	Nadczidka note	Notatka note
14970	plecónka	mata pleciona
14971	pòléwka	polewka
14972	bezkrytyczność	bezkrytycyzm
14973	fąfka	żart
14974	weather forecast	Możliwe lekkie opady śniegu i zamieć śnieżnaweather forecast
14975	Zjinaczô wëbróny tekst identifikacëji.	Zmienia wybrany tekst identyfikacji.
14976	Czas déraniô wëcëszenia	Czas wyciszania
14977	taktométer	taktomierz
14978	weather condition	Burza kurzowa w pobliżuweather condition
14979	òdwrócëc sã	odwrócić się
14980	Òkno dobëje zwikszenié	Okno zostanie uaktywnione
14981	Rëmô wëbróny bùfor	Usuwa tę warstwę
14982	Jakô gòdzëna? Klëkni, bë zaktualnic.	Która godzina? Kliknij, by uaktualnić.
14983	proszący	żebracki
14984	ùrzma	wzgórze
14985	łaskawi	łaskawy
14986	sparzëszcze	łąka podmokła
14987	Zmiana dopòwiescë	Komentarz
14988	Fela ôrtu	Błąd typu
14989	wiôlgòrodny pón	arystokrata
14990	Analizatora séce	Analizator sieci
14991	Rëmôj wpisënk	Usuń pozycję
14992	ùpchnąc	zabić
14993	sopòtac	szum
14994	brzôsk	brzask
14995	wietrznik	młyn wietrzny
14996	Łëska	łeska
14997	Dzélnik	Dzielnik
14998	łacëna	łacina
14999	Felëjë przistãpù do nëkù . Nëk je wcyg zajãtô. Żdôj jaż zakùńczë robòtã ë spróbùjë znowa.	Brak dostępu do stacji. Stacja jest nadal zajęta. Poczekaj, aż zakończy pracę i spróbuj ponownie.
15000	braceszk	brat
15001	burzon	burzyciel
15002	You are about to translate the Random COMMAND, there are some rules on how to translate it. Please see http edu. kde. org kturtle translator. php to learn how to properly translate it.	rozmiarTekstuYou are about to translate the Random COMMAND, there are some rules on how to translate it. Please see http edu. kde. org kturtle translator. php to learn how to properly translate it.
15003	Dmitry Suzdalev	Dmitry Suzdalev
15004	pòmknąc	pomknąć
15005	cerezyna	cerezyna
15006	PefCoptic	PefCoptic
15007	kanclérz	kanclerz
15008	autorsczi	autorski
15009	bùwrónów	bałwochwalca
15010	KbSetupGeneric	KbSetupGeneric
15011	diabłowati	diabłowaty
15012	Pùnktë załamaniô	Pułapka
15013	p, li {white space wrap;} Procesë bãdą robic jak to le mòżlëwé. Wëższi prioritet jak w karnie zwëczajnych ë wsôdowich. To nie dô pòdzelënkù czasu slicing.	p, li {white space wrap;} Procesy będą działać kiedy to tylko możliwe. Wyższy priorytet niż w grupie zwykłych lub wsadowych. Nie ma podziału czasu slicing.
15014	Felô òbczas zrëszaniô qdbusviewer	Błąd podczas uruchamiania qdbusviewer name
15015	charakteristiczno	charakterystycznie
15016	rozstajac sã	rozstawać się
15017	tresc	osnowa
15018	Mùszisz ùprzistãpnic wôżny parent	Trzeba podać poprawnego rodzica.
15019	fela przë inicjowaniu negòcjacëji z systemą ùdowierzëniô	błąd podczas inicjowania negocjacji z systemem uwierzytelniania
15020	Pùstô parola	Puste hasło
15021	piscowanié	boks
15022	Domëslnô wôrtnota	Domyślna wartość
15023	Instalëjë paczét w < path > Do not translate < path >	Zainstaluj pakiet w < path > Do not translate < path >
15024	Jeżlë na òptacëjô je wëłączonô, aplikacëje KDE bãdą startowôłë bënowé animacje.	Jeśli ta opcja jest włączona, aplikacje KDE będą wyświetlać wbudowane animacje.
15025	Implementacëjô pasjansë Spider	Ustawienia Pająka
15026	niedouczałi	niedouczony
15027	Miono kònfigùracëjowëgò lopkù	Nazwa pliku konfiguracyjnego
15028	figeł	figle
15029	ju òbzéróny	odwiedzony
15030	ùsôdzk	artykulik
15031	ùrdëga	tłum
15032	Programa na twòjim kòmpùtrze, òdpòwiadającô za przistãp do protokòłu niespòdzajno zakùńczëła dzejanié.	Program na Twoim komputerze, odpowiadający za dostęp do protokołu, nieoczekiwanie zakończył działanie.
15033	méstrowac	majsterkować
15034	òddawac	oddawać
15035	wërechòwac	wyrachować
15036	Załóżka	Zakładka
15037	Spòdlowò tab	Ogólne tab
15038	< p\ �\ �sti >	< pusty >
15039	weather condition	Lekka ulewa śnieżnaweather condition
15040	Fela procesu	Błąd procesu
15041	grajda	nożysko
15042	raczëc sã	delektować się
15043	Dodôj sztëcczi	Wyślij utwory
15044	Madagaskar	Madagaskar
15045	wãglewiszcze	węglowisko
15046	Ordof Khordad short	Ordof Khordad short
15047	pò swòjémù	ad libitum
15048	jidżełka	igiełka
15049	Fela ùdowiérzaniô.	Błąd komunikacji
15050	To je skrodzëna dlô przełączaniô ùstôwów w KDE. Nie wspierô blós zmieniwnëch skrodzënów a téż mòże nie robic w niechtërnëch lëżnoscach np. jeżlë aktiwny je popup abò w czasu dzejanégò wëgaszacza ekrana.	Skrót do przełączania układów obsługiwany przez KDE. Skróty złożone z samych modyfikatorów nie są obsługiwane. Przełączanie może nie działać w niektórych sytuacjach aktywne okienko z powiadomieniem, wygaszacz ekranu.
15051	Dwakanałowi miernik UV	Dwukanałowy wskaźnik wysterowania VU Meter
15052	jarczi	żwirowaty
15053	Pòwtórzë lëstã graniô	Pobierz tekst ponownie
15054	spòrtówc	sportowiec
15055	paradowac w czims	afiszować się
15056	zdebło	trochę
15057	brétling	szprot
15058	bãben	bachor
15059	leżec	leżeć
15060	trzëmac	dzierżyć
15061	DodómA button on a Remote Control	DomA button on a Remote Control
15062	cepłosc	ciepłota
15063	cãżczi	niełatwy
15064	przékòwac	robić cośkolwiek w poprzek
15065	Dofùlowanié etiopsczégòKCharselect unicode block name	Uzupełnienie etiopskiegoKCharselect unicode block name
15066	Mòłdawsczi	Mołdawski
15067	Skóknié do biéżnégò sztripka	Przejdź do aktualnej strony
15068	ekòsystem	ekosystem
15069	bez wëdôwaniô głosu	bezdźwięcznie
15070	dzesãcëna	dziesięcina
15071	Czas CPU w procesach jądra sek.	Czas procesora spędzony w jądrze sekund
15072	żiwioł	żywioł
15073	Nagrëwanié aùdio	Nagrywanie
15074	Miono swòjegò lopka òbrôzka	Nazwa własnego pliku obrazka użytkownika
15075	kùlac sã	turlać się
15076	kòzy	kozi
15077	Separatora, akapit	Separator, akapit
15078	# Wëskrzëniô lëstã z wëdowiédzą ò sprôwianiu energiją. # Przë wëbierkù òptacëji suspend pòkôżë sã lësta # wspierónëch przez systemã òptacëji ùspieniô # Przë wëbierkù òptacëji scheme pòkôżë sã lësta # wspierónëch przez systemã òptacëji schematu wspiéraniô mòcą # Przë wëbierkù òptacëji cpufreq pòkôżë sã lësta # wspierónëch przez systemã òptacëji pòliticzi czãstotlëwòtë CPU.	# Wypisanie określonego zbioru informacji dotyczących zarządzania energią. # Jeśli podano opcję suspend, podana jest lista metod usypiania # dostępnych w systemie # Jeśli podano opcję scheme, to pokazywana jest lista obsługiwanych # schematów zarządzania energią # Jeśli podano opcję cpufreq, to pokazywana jest lista obsługiwanych # polityk określania częstotliwości procesora
15079	nieùdżibłi	bezkompromisowy
15080	mrzeża	sieć na ryby
15081	mało znaczący	marginalny
15082	kùdłati	kudłaty
15083	senatór	senator
15084	Zamieni	Zamień
15085	smiot	zaspa
15086	wëbaczac	wybaczyć
15087	ùchò	klapka
15088	Òtemkniãté dokùmentë	Nowe dokumenty
15089	Kùwerta You	Koperta You
15090	szrëcë	łyżwy
15091	Notowania	Notowania
15092	Òd kùrsora	Od kursora
15093	chciwość	łakomstwo
15094	Erytrejskô Nakfa	Nakfa Erytrea
15095	tacewny	tajemniczy
15096	Wëmôgónë ùdowierzanié sprôwnika. verb	Wymagane uprawnienia administratora. verb
15097	apartnosc	różnica
15098	Grëpùjë wedle ôrtu lopków	Grupuj pliki wg typów
15099	zgadac sã	umówić się
15100	czedë	kiedy
15101	Ôrt serwisu jak KParts ReadOnlyPart abò KMyApp Plugin	Typ usługi, jak KParts ReadOnlyPart czy KMyApp Plugin
15102	czidza	trawa morska
15103	zapadac	zapadać
15104	diplom	dyplom
15105	Môłi strit	Mały strit
15106	Dôwanié wiedzëPhonon	PowiadomieniaPhonon
15107	Pòmòc wërówaniô	Pomoc przy przeciąganiu
15108	wrazlëwi	wrażliwy
15109	weather condition	Ulewy śnieżne w pobliżu, mgławeather condition
15110	sytuacjô	sytuacja
15111	panama	splot
15112	niewôrtnota	niecność
15113	Jagatka	Agatka
15114	NASTÔWË N UP Ë WÒDNÉGÒ MERKÙ	USTAWIENIA N UP I ZNAKU WODNEGO
15115	krëzbùlowi	agrestowy
15116	wëczëscëc	wyczyścić
15117	matura	matura
15118	LËCHÒ	ŹLE
15119	Klëkni bë òtemknąc	Kliknij aby otworzyć
15120	ùspiónyNote this is a KRunner keyword	uśpienieNote this is a KRunner keyword
15121	żart zabawiac kògòs	absorbować
15122	c Rozwijôrzë KDE	c Programiści KDE
15123	wëżimadło	beksa
15124	òdjimanié	fotografowanie
15125	antilopa	antylopa
15126	prédrów	pastorski
15127	pôlëc	palić
15128	przemienic	przemienić
15129	bùrka	bura
15130	Nie darzëło sã zajinicjalizowac iPoda	Nie udało się zainicjalizować iPoda
15131	WôrtnotaMebibyte	Wartość
15132	Przezérny	Przeźroczysty
15133	zadżic sã	zagiąć się
15134	lëdac	znosić
15135	weather forecast	Momentami lekki śnieg lub krupy śnieżneweather forecast
15136	parafijka	parafijka
15137	Kwadratowé roznëkòwanié	Rozpraszanie kwadratowe
15138	bùlwiasti	perkaty
15139	strzimk	trzcinnik
15140	Rozwinie	Rozwiń
15141	You are about to translate the Round COMMAND, there are some rules on how to translate it. Please see http edu. kde. org kturtle translator. php to learn how to properly translate it.	sqrtYou are about to translate the Round COMMAND, there are some rules on how to translate it. Please see http edu. kde. org kturtle translator. php to learn how to properly translate it.
15142	doniszczëc	doniszczyć
15143	pùrôk	zwodziciel
15144	òsodłac	osiodłać
15145	Kùbôsz	Kubuś
15146	chem	kadm
15147	bezproblemòwò	bezproblemowo
15148	chrzebt	grzbiet
15149	Testowanié The operation was rejected by the server	Testowanie The operation was rejected by the server
15150	rągac	urągać
15151	smùlónk	maminsynek
15152	atak	atak
15153	Gòrzëmira	Gniewomira
15154	métel	sposób
15155	Felënk programë nspluginscan. Szëkba za wtëkôczama òsta przerwanô.	Nie znaleziono programu nspluginscan. Wyszukiwanie wtyczek zostało przerwane.
15156	Radosława	Radosława
15157	Symbòl, jinszé	Symbol, inny
15158	Wëmòga aùtoryzacëji	Żądanie autoryzacji
15159	przestac	ustać
15160	Afrika Dakar	Afryka Dakar
15161	pierznikôrz	piernikarz
15162	Procëmnik òddôł strzél. Strzélôj terô të!	Wróg oddał strzał. Teraz Ty strzelaj!
15163	Nen pòlét òstónié zrëszony, bë zainicjalizowac skònfigùrowóné ùstôwë.	Polecenie do inicjalizowania skonfigurowanch układów.
15164	Fùnkcjô do rëchòwaniô tangenta dónégò nórtu	Funkcja do obliczenia tangensa danego kąta
15165	miłoscëwi	miłościwy
15166	Michôł ÒstrowscziEMAIL OF TRANSLATORS	Mart RybczyńskaEMAIL OF TRANSLATORS
15167	zabawiac	bawić
15168	Amerika Indiana Knox	Ameryka Knox IN
15169	landszaft	pejzaż
15170	zasëwac	zasuwać
15171	chromatika	chromatyka
15172	nadesłóny	nadesłany
15173	przepuszczac	odpuszczać
15174	Mòtór animacëjów Plasmë	Moduł animacji Plazmy
15175	bùlwiczé	łęty
15176	Dali	Kontynuuj
15177	gòrszëc sã	gorszyć się
15178	mantila	mantyla
15179	sznëpelduk	chustka
15180	mimk	kot
15181	Pùrgô òkna przë zmianié wirtualnëch pùltów	Obrót okien podczas przełączania kart
15182	Skòpérëjë e mailową adresã	Skopiuj adres e mail
15183	pòkrzëczec	pokrzyczeć
15184	FilterNAME OF TRANSLATORS	FiltrNAME OF TRANSLATORS
15185	wëpépkóny	papinkowaty
15186	Miono katalogtab name search by contents	Nazwa katalogtab name search by contents
15187	gaflowi	widłowy
15188	apartnik	bezkompromisowy
15189	pierznikòrka	piernikarka
15190	Wëbierzë na òptacëjã, jeżlë chcesz bë ikònë nie bëłë przenoszoné. Je to prakticzné jak n. p. nie chceta bë ikònë òstałë niéchcało przeniosłé.	Zaznacz tą opcję, jeśli nie chcesz, aby można było przenosić ikony w widoku. Opcja ta jest użyteczna, jeśli chcesz uniknąć przypadkowego przeniesienia ikon podczas pracy na nich.
15191	drogòsc	drogość
15192	ùpùscëc	upuścił
15193	zarznąc	zarznąć
15194	gòlëc sã	golić się
15195	nad jinszima òknamaNote this is a KRunner keyword	nad innymi oknamiNote this is a KRunner keyword
15196	Programa do céchòwaniô grafów	Program rysujący wykresy funkcji
15197	òsc	ość
15198	Felëjący wtëkôcz	Brakująca wtyczka
15199	Zacwierdzë	Rotacja KB
15200	cemny	ciemny
15201	Sãdomira	Sędomira
15202	Nie mòże nalezc programë sgmlroff. Proszã gò zainstalowac abò pòprawic nastôwë stegnë, ùstawiając zmienną PATH przed zrëszënim KDE.	Nie można znaleźć programu sgmlroff. Proszę zainstalować go lub poprawić ustawienia ścieżki, ustawiając zmienną PATH przed uruchomieniem KDE.
15203	branié	branie
15204	telefónowac	telefonować
15205	Kùwerta Comm	Koperta Comm
15206	łãcznik	łucznik
15207	chùtkò	żwawo
15208	oddôwac	odtwarzać
15209	brodôl	brodacz
15210	czechlic	skrobać
15211	autokar	autokar
15212	głëchi	głuchy
15213	Logòwanié do	Logowanie do
15214	absorpcëjô	absorpcja
15215	cerzpiec	cierpieć
15216	Òdinstalëjë	Odinstaluj
15217	krziżowanié	krzyżowanie
15218	wrodżi	antagonistyczny
15219	zasmòlëc sã	zasmolić się
15220	wiôldżé mòrze	bałtyk
15221	Dzélk Lancelota	Moduł programu Lancelot
15222	przedspôwny	przedsenny
15223	jenë!	biada! gwałtu! rety!
15224	Tuwò mòżesz zmienic wielgòsc chwëtu zmianë miarë	Tutaj możesz zmienić wielkość uchwytu zmiany rozmiaru.
15225	główny	dominujący
15226	doprzëgac	doprzęgać
15227	òbleczenié	ubranie
15228	Szwedzkô Kòróna	Korona szwedzka
15229	neutralny	neutralny
15230	Gamma.Hòrizontalné przesëniãcé X w pùnktach	Gamma.Przesunięcie poziome X w punktach
15231	Chùtkòsc	Szybkość
15232	alkòholowi	alkoholowy
15233	łajac	szczekać
15234	pôrãdzesąt	kilkadziesiąt
15235	vjidzałi	przystojny
15236	sztańda	zwłaszcza dobry stan
15237	ùzolëc sã	zbrudzić się
15238	zgòda	akceptacja
15239	Malta	Malta
15240	carowô	carowa
15241	nagrac sã	nagrać się
15242	lëchô knąpaa kind of mouse gesture hold down one mouse button, then ss another button	nieprawidłowy przyciska kind of mouse gesture hold down one mouse button, then ss another button
15243	paczkòwanié	pączkowanie
15244	chòlewka	cholewka
15245	nieprawie	źle
15246	projekt	projekt
15247	weather condition	Intensywne opady śniegu, mgławeather condition
15248	wierzbòwi	łozowy
15249	bùrsa	bursa
15250	bezdrożny	bezdrożny
15251	Przełączë trzëmiarowé sztaple aktualny pùltu	Włącz wyłącz przełącznik stosowy Bieżący pulpit
15252	loch	loch
15253	pùrtôk	duch nieczysty
15254	żałosny	żałosny
15255	niebëlny	niecny
15256	hardo	arogancko
15257	Kùbów	Kubowy
15258	Katalog zamëkający w se katalodżi tests, basedir ë output. Wôżné blós, czéj nie òsta ùżëtô òptacëjô b.	Katalog zawierający katalogi tests, basedir i output. Istotne tylko, gdy nie użyto opcji b.
15259	Dodôwô nã zastrzégã filtrowóniô do lëstë	Dodaje ten warunek filtrowania do listy
15260	Half letter	Half letter
15261	architektonika	architektonika
15262	Prosti menadżera òknów na spòdlém AEWM, zbògacony o wirtualné pùltë ë dzélowé wspiarce dlô	Prosty menedżer okien na bazie AEWM, wzbogacony o wirtualne pulpity i częściowe wsparcie dla
15263	Wëskrzëni z lewi starnë	Pokaż po lewej stronie
15264	nachilac sã	nachylać się
15265	strzédnowiek	średniowiecze
15266	antibakterijny	antybakteryjny
15267	szczëpnąc	szczypnąć
15268	zmniészac	zmniejszać
15269	Lucid Emacs	Lucid Emacs
15270	Animùjë knąpë	Animuj przyciski
15271	Mòje nôwikszé gwiôzdë	Moi ulubieni wykonawcy
15272	sprzécznosc	absurd
15273	cwiardo	twardo
15274	cokół	cokół
15275	òklepac sã	oklepać
15276	dokùńczac	dokańczać
15277	charłãżëc	lasu
15278	nieszczescëc sã	nieszczęścić się
15279	Wëbiérzë témã wëzdrzatkù KDE	Wybierz motyw wyglądu KDE
15280	łakòmstwò	łakomstwo
15281	do not translate DataDownloader or qt. core	do not translate DataDownloader or qt. core
15282	Kòpérëjë z pòmòcą Kb	Kopiuj płytę CD za pomocą Kb
15283	Klëkniãcé westrzédną knąpã mëszë abò ji kółkã na kôrtã doprowôdzy do zamkniãcô kôrtë je nót zrëszëc Konquerora znowa, abë aktiwòwac na fùkcëjã.	Wciśnięcie karty środkowym przyciskiem myszy zamknie tę kartę. Zmiany zostaną uwzględnione dopiero po ponownym uruchomieniu Konquerora.
15284	Fòrmat FanFoldUS	Format FanFoldUS
15285	tãczëna	odcień
15286	ùmitëgòwac	uspokoić
15287	Domasłôw	Domasław
15288	włôsnorãczny	autograficzny
15289	papiéż	papież
15290	Sztandardowi pòrt mòdema	Standardowy port modemu
15291	błąkac sã	błądzić
15292	biédno	biednie
15293	gniota	guzdralski
15294	pòkój	pokój
15295	disk spiprocess status	uśpiony, na dyskuprocess status
15296	òbżérny	żarłoczny
15297	Look Up in Dictionary	Szukaj w sieciLook Up in Dictionary
15298	wëmalowac	wymalować
15299	samòzwãk	samogłoska
15300	aristokracjô	arystokracja
15301	Hebrejsczi Calendar system	Hebrajski Calendar system
15302	wgrajdac sã	wejść z trudnością
15303	pòkùńczëc	pokończyć
15304	Aùtorowie	Autorzy
15305	ridbùksë	rajtuzy
15306	sënów	synów
15307	Graficzny przëmiôr dlô menadżera wątków Weaver	Graficzny przykład dla menedżera wątków Weaver
15308	Libańsczi Fùnt	Funt libański
15309	Przeskók górny w pikselach	Przeskok górny w pikselach
15310	Anglik	Anglik
15311	dwiérznik	woźny
15312	Twòjô téma òsta ùdało ùsôdzonô w .	Twój motyw został pomyślnie utworzony w .
15313	dwór	dwór
15314	włôstny	własny
15315	paprotac	paplać
15316	dwùprocentowi	dwuprocentowy
15317	kòlôrka	rowerzystka
15318	czerwòny	czerwony
15319	erudicjô	erudycja
15320	zezëbnąc	zziębnąć
15321	cykùta	cykuta
15322	Wësôk rozdzélnota wëskrzënióniô ë wòlny procesor	Wysoka rozdzielczość i małe obciążenie procesora
15323	Nowi cwiardi disk	Nowy twardy dysk
15324	Slédno brëkòwóne aplikacëje	Ostatnio używane programy
15325	nadżagac sã	naharować się
15326	Prostô ikòna	Zwykła ikona
15327	zëmërgòt	piecuch
15328	C Ralf Habacker	C Ralf Habacker
15329	diagnoza	diagnoza
15330	żôłtawò	żółtawo
15331	Nieznóny katalog aplikacëjów	Nieznany folder programu
15332	nieùrodzôj	nieurodzaj
15333	banofòwi	dworcowy
15334	wsolnąc	wsypać kijem
15335	zaspac	zaspać
15336	ai family nie je wspieranô	ai family nie obsługiwana
15337	skrzidełkò	skrzydełko
15338	scëgac sã	ścigać się
15339	Amerika Gujana	Ameryka Gujana
15340	czedës	kiedyś
15341	nocnikòwi	noclegòwy
15342	przëgasnąc	przygasnąć
15343	Klaster Sztandardowi	Klaster standardowy
15344	centrëfùga	centryfuga
15345	Wëdowiédzô ò X serwerze	Informacje o X serwerze
15346	fabrikant	fabrykant
15347	Léga	Podnieś warstwę
15348	sëto	sito
15349	C Kùwerta	C koperta
15350	czistka	skrzyneczka
15351	bómbardowanié	bombardowanie
15352	Surinam	Surinam
15353	Rozłączë button	Rozłącz button
15354	Wtëkôcz apletów Javë KDE	Wtyczka apletów Javy KDE
15355	Ctrlkeyboard key name	Ctrlkeyboard key name
15356	bezdzetny	bezdzietny
15357	Włączë semanticzny pùlt Nepomuka	Włącz pulpit semantyczny Nepomuk
15358	wiostka	pogłoska
15359	ùszlapac sã	ubrudzić się
15360	Biéj do òkna z lewi	Przełącz do okna z lewej
15361	wiezc	wieść wiozę
15362	sum	sum
15363	nalecałosc	barbaryzm
15364	Zladëjë nowé témë.	Ściągnij nowe motywy.
15365	Subisława	Subisława
15366	nuzlanié sã	babranie się
15367	zrozmiec	zrozumieć
15368	mòżny	wyśmienity
15369	trawic	trawić
15370	starëszk	staruszek
15371	rola	rola
15372	Egzystëjącé òkno Condition type	Istniejące okno Condition type
15373	grajdac	ślamazarzyć
15374	òkrëwac	okrywać
15375	Dodôj do tegò rapòrtu awansowóné	Załącz do tego raportu Zaawansowane
15376	zanotowac	zanotować
15377	Minimalizëjë dzejanié	Minimalizuj zadanie
15378	http www. wordreference. com es translation. asp? tranword=\\\\ {}	http www. wordreference. com es translation. asp? tranword=\\\\ {}
15379	gôd	gad
15380	weather condition	Intensywna burza piaskowaweather condition
15381	grabòwi	grabowy
15382	nëkac sã	wynosić się
15383	łupkòwati	łupkowaty
15384	zófka	sofka
15385	wëwijac sã	wykręcać się
15386	Wstãpnô perforowóny	Wstępnie perforowany
15387	Nie je mòżno òtemknąc òkna drëkù.	Nie można otworzyć okna drukowania.
15388	kómpelk	koleżka
