	pol_Latn	csb_Latn
2029	Ta kolumna pokazuje stan rodziny czcionek i poszczególnych stylów.	Na kòlumna wëskrzëniô stón familëji fòntów ë indiwidualnych sztélów fòntów.
2030	Słownik, analizator użycia dysku twardego, przeglądarka plików raportów, narzędzie wyszukujące	Słowôrz, analizatór ùżëcô cwiardégò diskù, przezérnik rapòrtów, szëkôsz
2031	(domyślne)	(domëslné)
2032	Pataka makańskaName	Pataca z MakaòName
2033	Ameryka/ Blanc- Sablon	Amerika/ Blanc- Sablon
2034	Wykryto aktywność w monitorowanej sesjiName	Aktiwnota ùstalonô w mònitorowóny sesëjiName
2035	System prasowy Euroscale	Prasowô systema Euroscale
2036	& Dzwonek	& Zwónk
2037	Konfiguruj pulpity...	Kònfigùrëjë pùltë...
2038	% 1 Identyfikator procesu:% 2 Identyfikator procesu rodzica:% 3	% 1 Numer ID procesu:% 2 Numer ID wëższegò procesu:% 3
2039	Nie można przetworzyć szukanego pliku pomocy:% 1	Ni mòże przerobic szëkónegò lopka pòmòcë:% 1
2040	Tusze CMYK	tintë CMYK
2041	Odbija obraz poziomoimage-action	image-action
2042	MSDN - zasoby dla programistówQuery	MSDN - dostónczi dlô programistówQuery
2043	Kalibracja umożliwia sprawdzenie zakresu wartości udostępnianego przez Twoje urządzenie. Proszę przesunąć manipulator osi% 1% 2 Twojego urządzenia do pozycji minimalnej. Proszę wcisnąć jakikolwiek przycisk na urządzeniu lub przycisk 'Dalej', aby przejść do następnego kroku.	Kalibracëjô dôwô mòżnotã sprôwdzeniô òbjimù wôrtnotë ùprzistãpnianą przez Twoje ùrządzenié. Proszã przesënąc manipùlator osë% 1% 2 Twojegò ùrządzenia do minimalnégò pòłożenia. Proszã wcësną równo jaką knąpã na urządzeniu abò knąpã 'Dali', bë przéńc do nôslédnegò krokù.
2044	Czy zapamiętać to hasło?	Chcesz trzëmac nã parolã?
2045	PowiadomienieComment	Dôwanié wiédzëComment
2046	Skalowanie	Skalowóno
2047	Czarny ekranName	Czôrny ekranName
2048	Gratulacje! Wygraliśmy!	Gratulacëje! Mómë dobëté.
2049	Przesunięcie pionowe:	Wertikalné przesëniãcé
2050	Ocean_ Atlantycki/ Madeira	Atlantëcczi_ Òcean/ Madeira
2051	Kolejność określa preferencje dotyczące wyjść audio. Jeśli z jakiś przyczyn nie może być wykorzystane urządzenie pierwsze na liście, Phonon spróbuje drugiego i tak dalej.	Pòsobnica òpisëje preferencëje tikające sã wińdzeniów aùdio. Jeżlë z jaczichs przëczënów ni mòże bëc brëkòwóné pierszé ùrządzenié na lësce, Phonon spróbùje drëdżegò, ë tak dali.
2052	'% 1' nie jest poprawnym układem.	'% 1' nie je pòprôwnëm ùkłôdã
2053	Rozszerzony łaciński D	Rozszérzoné lacëzniané D
2054	Symbol waluty:	Céch dëtków:
2055	kdialog: nie można otworzyć pliku% 1	kdialog: nié mòże òtemknąc lopka% 1
2056	Kolejkuj jako następnyName	Wsôdzë w régã jakno pòstãpnéName
2057	RódComment	JãzëkComment
2058	Wstaw separator	Wlepi òdstãp
2059	Normalny kolor słupka:	Zwëkòwô farwa stołpka:
2060	Powiadomienie o automatycznej zmianie urządzenia dźwiękowego, kiedy preferowane nie jest dostępneName	Dôwanié wiédzë ò aùtomatny zmianie zwãkòwégò ùrządzenia, czedë preferowóné je przëstspnéName
2061	JavaScript włączony (globalnie). Skonfiguruj Javascript tutaj.	JavaScript włączony (globalno). Skònfigùrujë Javascript tuwò.
2062	Przeszukiwanie plików...	Skanowanié lopków...
2063	Sko_nfiguruj siatkę...image-action	image-action
2064	Brazylijski portugalskiName	Brazylsczi pòrtugalscziName
2065	Przeciąganie przewija stronę: @ info	Przecygnié bë przewinąc starnã: @ info
2066	Wyczyść pasek adresu Usuwa zawartość paska adresu.	Wëczëszczë listew adresë Czëszczë zamkłosc listwë adresë.
2067	Wykonywanie skryptu jako% 1	Zrëszanié skript na% 1
2068	Rozmiar strony	Miara jedny starnë
2069	Nowy twardy dyskName	Nowi cwiardi diskName
2070	ta operacja nie jest obsługiwanaSocket error code Timeout	òperacëjô nie je wspiérónôSocket error code Timeout
2071	Strzałki	Strzélczi
2072	Użyj < pliku > zamiast konfiguracji globalnej	Brëkùjë < lopka > w môlu òglowi kònfigùracëji
2073	Nazwa własnego pliku obrazka użytkownika	Miono swòjegò lopka òbrôzka
2074	HebrajskiName	HebrajscziName
2075	Kalibracja zakończona pomyślnie	Kalibracëjô zakùńczonô ùdało
2076	Tworzenie indeksu wyszukiwania...	Bùdowanié indeksu szëkbë...
2077	Ameryka/ Paramaribo	Amerika/ Paramaribo
2078	Zastępowany tekst (% 1)	Zastãpòwóny tekst (% 1)
2079	i18np () pobiera przynajmniej dwa argumenty	i18np () mùszi miec conômni dwa argùmentë
2080	Akcesoria do druku obustronnego	Akcesorëja do dwastarnowégò drëkù
2081	Na pewno skopiować% 1?	"Czë na gwës chcesz skòpérowac "" % 1 "" ?"
2082	# Zapytanie o aktywne i nieaktywne właściwości sieciowe. # - Jeśli podano opcję 'status', pokazanie czy w systemie # dostępna jest sieć. # - Jeśli podano opcję 'wireless', pokazanie czy sieć bezprzewodowa # jest dostępna w systemie # - Jeśli podano opcję 'wireless- hardware', pokazanie czy # włączony jest sprzęt związany z sieciami bezprzewodowymi # - Jeśli podano opcję 'interface', to wyświetlane są właściwości # interfejsu określonego przez 'uni'. # - Jeśli podano 'network', to wyświetlane są właściwości sieci # określonej przez 'network- uni' na urządzeniu 'device- uni'.	# Zapëtanié ò aktiwné ë nieaktiwné sécowé swòjiznë. # - Jeżlë pòdónô je òptacëjô 'status', wëskrzënienié czë w systemie # przëstãpnô je séc. # - Jeżlë pòdónô je òptacëjô 'wireless', wëskrzëninié czë bezkablowa séc # przëstspnô je w systemie # - Jeżlë pòdónô je òptacëjô 'wireless- hardware', wëskrzënienié czë # włączonô je hardwôra sparłãczonô z bezkablowima sécama # - Jeżlë pòdónô je òptacëjô 'interface', to wëskrzënióné są swòjiznë # interfejsu òpisónegò przez 'uni'. # - Jeżlë pòdónô je òptacëjô 'network', to wëskrzënióné są swòjiznë sécë # òpisóny przez 'network- uni' na ùrządzeniu 'device- uni'.
2083	Zachowanie przy starcie programu	Zachòwanié przë sztarce programë
2084	Inne karty	Jinszé kôrtë
2085	Klawisz Hyper jest teraz wyłączony.	Klawisza Hyper je terô wëłączonô.
2086	Nie można uruchomić drukowania czcionek.	Nie dało sã zrëszëc drëkra fòntów.
2087	& Pamiętaj hasło	& Spamiãtôj parolã
2088	Proszę wybrać poprawny katalog budowania 'khtml /'.	Proszã wëbrac bezzmiłkòwi katalog bùdowaniô 'khtml /'
2089	Data ostatniej zmiany tych właściwości przez użytkownika.	Slédno ne swòjiznë bëłë zmienioné bez brëkòwnika.
2090	Pokonaj węża chaosuName	Pòradzë wãża chaòsuName
2091	Wstaw poprzednio wyciętą lub skopiowaną zawartość schowka Działa także dla tekstu wyciętego lub skopiowanego w innym programie KDE.	Wlëpi rëchli wëcãtą zamkłosc do tacnika Dzejô téż przë tekstach wëcãtëch abò skòpiérowónëch w jinszëch aplikacëjach KDE.
2092	Test_ wejściaName	Test_ WpisaniaName
2093	Bezczynny	Nierobny
2094	Last. fm: Dodaj bieżący utwór do ulubionych	Achtnij biéżny sztëczk
2095	Konstruktor pobiera przynajmniej 1 argument	Kònstruktor mô miec conômni 1 argùment
2096	SzwajcariaName	SzwajcarskôName
2097	Pokaż szczegóły następnego ciasteczka	Pòkôżë detale nôslédnegò kùszka
2098	Inneunderline	Wszelejaczéunderline
2099	W przódName	W przódkName
2100	Użyj słowa powyżej	Brëkùjë słowa wëżi
2101	Porada & dnia	Pòrada & dnia
2102	Europa/ Belfast	Eùropa/ Belfast
2103	Polecenie, które chcesz wykonać, wymaga dodatkowych uprawnień. Wpisz poniżej hasło użytkownika% 1 lub wciśnij przycisk Ignoruj, by kontynuować z dotychczasowymi uprawnieniami.	Pòlét, jaczégò chcesz brëkòwac, wëmògô dodôwnëch praw. Wpiszë niżi parolã brëkòwnika% 1 abò klëknij Òprzestóń abë robic dali z ternëma prawama.
2104	Minuty	Minutë
2105	& Standardowa czcionka:	& Sztandardowi fònt:
2106	Nie na wszystkich pulpitach	Nié na wszëtczich pùltach
2107	Brak elementów	Felënk elementów
2108	Trzeba podać przynajmniej jedną poprawną zmienną środowiskową z danymi pośrednika.	Je nót pòdac co nômni jedną pòprôwną zmienną òkrãzô z pòdôwkama pòstrzédnika.
2109	300 punktów na cal (dpi)	300 pùnktów na cal (dpi)
2110	& Opcje terminala:	Òptacëje terminala:
2111	Pokaż nazwę strefy czasowej pod czasem.	Wëskrzëni czasową conã pòd czasã.
2112	Błąd czytania formatu XML	Fela parsera XML
2113	Redukcja tuszu	Redukcëjô tintë
2114	Zablokowane przez uid% 1	Blokòwóny przez% 1
2115	Wyłączone	Wëłączoné
2116	Sprawdzanie w trakcie pisania wyłączone.	Wëłączoné sprôwdzanié òb czas pisaniô.
2117	Kolor, najlepsza jakość, opcjonalnie korekta kolorów	Farwa, nôlepszi kwalitet, òptacëjno korekta farwów
2118	Być może problemy pojawiły się gdzieś w sieci, między serwerem a Twoim komputerem.	Mòżlëwé, że problemë pòkzałë sã dzes w sécë, midzë serwerã a twòjim kòmpùtrã.
2119	Wyłącz przewijanie	Wëłączë listew przewijaniô
2120	Pomiń & połączenia słów	Przepùszczë & sparłãczenia słowów
2121	Sześciokolorowe drukowanie CMYKcm	Szescofarwné drëkòwanié CMYKcm
2122	Zablokuj elementy interfejsu	Zablokùjë widżetë
2123	Główna strona WWW	Przédnô starna
2124	Krótka krawędź (odwrócone)	Krótczi rańt (òbróconé)
2125	Uwierzytelnienie administratora (pojedyncze)	Ùdowiérzenié sprôwnika (jeden strzél)
2126	Nie podano żadnych plików	Nie òstôł pòdóny niżóden lopk
2127	LancelotComment	Dzélk LancelotaName
2128	300 dpi, próbny, tusze kolorowe	300 dpi, próbny, farwné tintë
2129	Zawsze pod spodem	Nie trzëmôj na wiérzkù
2130	Długość animacji:	Dérowanié animacëji:
2131	Zamknij & bieżącą kartę	Zamkni & aktualną kôrtã
2132	Działanie demona '% 1' zakończyło się błędem.	Programa demona '% 1' skùńcza sã z felą.
2133	AltaVista - wyszukiwarka stron WWWQuery	AltaVista - szëkôrz starnów WWWQuery
2134	Konfiguracja ustawień wybranego oknaName	Kònfigùracëjô nastôwów specyficznëch dlô wëbrónegò òknaName
2135	Wersja	Wersëja
2136	Temperatura	Cepłota
2137	Aktualizacja repozytorium SVN... @ info: status	Zaktualnienié zdrojów SVN... @ info: status
2138	Nie można odnaleźć pliku wykonywalnego testregression.	Ni mòże nalezc wëkònëwólnegò lopka executable.
2139	Przywróć domyślne opcje	_Jinszé òptacëje
2140	Azja/ Choibalsan	Azëjô/ Choibalsan
2141	Wybór systemu	Wëbiérk systemë
2142	Używaj trybu oszczędzania energii	Brëkùjë tribù òbszcządzaniô enerdżiji
2143	Uporządkowany (szybszy)	Ùszëkòwóny (chùtszi)
2144	Weryfikacja zakończona pomyślnie.	Ùdałô zakùńczonô werifikacëjô.
2145	wstrzymaj odtwarzanie	paùzëjë grónié
2146	Ameryka/ Santiago	Amerika/ Santiago
2147	Klawiatura i myszName	Klawiatura ë mëszName
2148	Dolar namibiańskiName	Namibijsczi DolarName
2149	Komunikat krytycznyComment	Wiadło felëComment
2150	ArchD poprzeczny	ArchD przéczny
2151	Nagłówek wydruku	Nagłówk wëdrëkù
2152	Ameryka/ Indiana/ Winamac	Amerika/ Indiana/ Winamac
2153	Podaj adres URL:	Pòdôj adresã URL:
2154	Nie podłączono żadnych urządzeń	Felëją dodóné ùrządzenia
2155	Tłumaczenie wsadowe zakończone@ title	@ title
2156	KirgistanName	KirgistónName
2157	Zdjęcie w odcieniach szarości	Òdjimk w cenioscach szaroscë
2158	Brak	Nié
2159	Błąd podczas wczytywania '% 1'.	Fela ladowaniô '% 1'.
2160	Przewiń w góręQWebPage	ScrollLockQShortcut
2161	komputer:	serwer:
2162	Ścieżka do plikuName	Stegna lopkaName
2163	Zapisać sesję?	Zapisac sesëjã?
2164	Włącz czcionki	Włączë fòntë
2165	Przełącz na ekran 1	Przełączë na ekran 1
2166	Edytor _zaznaczeniadialogs-action	Editora palétëdialogs-action
2167	Protokół% 1 nie jest protokołem filtrującym.	Protokół% 1 nie je filtrëjący.
2168	Procesy użytkownika	Procesë brëkòwnika
2169	Trwałe	Trwałé
2170	Błędne polecenie specjalne% 1	Zmiłkòwi specjalny pòlét% 1
2171	Oceń bieżący utwór: 5	Òtaksëjë biéżny sztëczk: 5
2172	Angielski brytyjskiName	Britijsczi anielscziName
2173	Usuń wybraną emotikonę z Twojego dysku	Rëmôj wëbróną emòtikònã z diskù
2174	Prawdopodobne duplikaty: @ info/ rich	Mòżlëwé duplikatë: @ info/ rich
2175	Plik lub katalog% 1 nie istnieje.	Felëje lopk, abò katalog% 1.
2176	Ustaw & wszystkie czcionki...	Nastôwi & wszëtczé fòntë...
2177	Usuwanie błędów i poprawki	Rëmanié felów ë pòprôwczi
2178	Program do obsługi grup dyskusyjnychName	Czëtôrz nowinów z diskùsjowëch karnówName
2179	Zwróć elementy listy w kolejnych wierszach (dla plików otwieranych z opcją -- multiple oraz dla listy opcji)	Zwrócë elementë lëstë w pòsobnëch réżkach (dlô lopków ótmekanëch òptacëją -- multiple a téż dlô lëstë òptacëji)
2180	Wyślij klawisze	Sélôj wprowadzenié z klawiaturë
2181	Małyview-size	view-size
2182	Konfiguracja & skrótów...	Kònfigùracëjô skrodzënów...
2183	Podajnik	Pòdajnik
2184	Tylko zaginanie	Blós zadżinanié
2185	Kolory sieciowe	Sécowé farwë
2186	Przeskocz w przód na liście odtwarzania	Skóknié w przódk na lësce graniô
2187	Wczytaj ponownie wszystkie otwarte dokumenty.	Zladëjë wszëtczé òtemkłé dokùmentë znowa.
2188	Ekonomiści, historycy, ekonomiści polityczni i socjologowie w swoich analizach kapitalizmu przyjmują szeroki wachlarz perspektyw i rozpoznają różne jego formy w praktyce.	Ekònomiscë, historicë, ekonomiscë politiczny i socjologòwie w swòjich analizach kapitalizmù przejmùją szeroczi wachlôrz perspektiw i rozpoznają różne jegò fòrmë w praktice.
2189	Uruchom (4) QShortcut	Zrëszë (4) QShortcut
2190	GórnołużyckiName	GórnoserbscziName
2191	Skrypt (*. kal)	Skript (*. kal)
2192	Nieprzezroczysty obrazek tła paneli	Nieprzezérny spódkòwi òbrôzk dlô panelów
2193	Kolor wewnętrzny:	Bënowô farwa:
2194	Ameryka/ Argentyna/ Kordoba	Amerika/ Argentina/ Cordoba
2195	Ta strona zawiera niewysłane zmiany. Zamknięcie okna anuluje te zmiany.	Na starna zamëkô w se jesz ni wësłóné zmianë. Zamëkając to òknò niechôsz te zmianë.
2196	Wysoki połysk	Wësôczi łisk
2197	Nie został wybrany żaden prawdopodobny duplikat ani raport, do którego należy dołączyć informacje o błędzie. Czy zapoznałeś/ aś się z treścią wszystkich raportów i możesz potwierdzić, że nie ma żadnych prawdziwych duplikatów? @ title: window	@ title: window
2198	Podświetlanie plików RPM Spec, Perla, Diffa i innych	Pòdskrzënianié lopków RPM Spec, Perla, Diffa ë jinszëch
2199	Formularze	Fòrmùlarze
2200	Generacja jednostek DocBooka dla skrótów klawiszowych standardowych akcji	Generacëjô jednotów DocBooka dlô klawiszowëch skrodzënów sztandardowégò dzejaniô
2201	Wróg oddał strzał. Teraz Ty strzelaj!	Procëmnik òddôł strzél. Strzélôj terô të!
2202	Różne formy kapitalizmu, w różnym stopniu traktują takie zagadnienia jak m.in. wolny rynek, własność państwowa[2], przeszkody dla wolnej konkurencji czy prowadzenie przez państwo polityki społecznej.	Różné fòrmë kapitalizmù, w różnym stopniu traktują taczé zagadnieniô jak m.in. wòlny rënk, włôsnosc państwòwô[1], przeszkòdë dlô wòlny kònkùrencji czë prowôdzenié przez państwò pòliticzi spòłeczny.
2203	Przenieś do kosza@ label	Przeniesë do kòsza@ action: inmenu File
2204	Wartości początkowe dla rozpraszania	Zaczątkòwé wôrtnotë dlô nëkaniô
2205	Konfiguracja ustawień klawiatury i myszyName	Kònfigùracëjô nastôwù klawiaturë ë mëszëName
2206	Europa/ Bratysława	Eùropa/ Bratisława
2207	Rozpocząć wyszukiwanie od końca?	Nacząc szëkbã òd kùńca?
2208	& Mignięcie ekranu	& Mërgniãce ekranu
2209	Nie można pobrać% 1.	Nie mòże òdebrac% 1.
2210	Odwróć warunek	Midzenôrodny
2211	Włącz przeciąganie okien	Włączë przecyganié òknów
2212	Wznów zatrzymany proces	Znowi wstrzëmóny proces
2213	Automatyczne dopełnianie	Aùtomatné dofùlowanié
2214	& Minimalizuj	Minimalizëjë
2215	Brak pamięci na wczytanie obrazu RAS	Felëjë pamiãcë na òdczëtanié òbrôzu RAS
2216	Nie można odczytać informacji o drukarce% 1.	Nie mòże òdczëtac wëdowiédzë ò drëkerze% 1.
2217	Nie można sprawdzić tożsamości zdalnego komputera '% 1'. Odcisk palca klucza tego komputera to:% 2 Zanim się połączysz, powinieneś potwierdzić u administratora tego serwera, że odcisk palca jest prawidłowy. Czy chcesz zaakceptować klucz komputera i połączyć się mimo to?	Nie mòże sprôwdzëc identifikacëji daleczégò kòmpùtra '% 1'. Sztãplëna klucza tegò kòmpùtra to:% 2 Zanim pòłączësz sã, nót je pòcwierdzëc ù sprôwnika ti serwerë, że sztãplëna je proôwdzëwô. Chcesz akceptowac klucz kòmpùtra ë pòłączëc sã nimò tegò?
2218	Pokaż Pisownię i gramatykęmenu item title	menu item title
2219	Wyślij raport o błędzie	Wëslë rapòrt ò felë
2220	BengalskiQFontDatabase	QFontDatabase
2221	Serwer był zbyt zajęty, realizując inne żądania.	Serwer bëł za baro zajãti, realizëjąc jinszé żądania.
2222	Bardzo prosty plik źródeł C++, LGPL@ item: inmenu	Baro prosti LGPL C++ zdrojowi lopk@ item: inmenu
2223	Standardowa skrzynka pocztowa	Sztandardowô pòcztowô kastka
2224	Pokaż wskaźnik pojedynczego układu	Wëskrzëni indikatorã dlô pòjedińczégò ùstôwù
2225	Hiperboliczny arcus cosecans	Hiperbòlikòwi arkùs kòsekans
2226	Pokaż informacje o zajętości@ item: inlistbox Font	Wëskrzëni wëdowiédzã ò placu@ item: inlistbox Font
2227	Użyj układu podglądu pulpitu do animacji	Brëkùjë przełącznika wëzdrzatków dlô animacëji
2228	Prawy dolny:	Prawi dolny:
2229	Dopasuj barwy pomiędzy drukarkami	Dopasëjë farwë midze drëkôrzama
2230	Nowe działanie	Nowé dzejanié
2231	Otwórz menu Lancelot	Lancelot
2232	Lewy górny:	Lewi górny:
2233	Emulator Palma/ urządzenia bezprzewodowegoName	Emùlator Palma/ bezkablowegò ùrządzeniôName
2234	To działanie spowodowałoby nadpisanie '% 1' przez samego siebie. Proszę podać nową nazwę:	To dzejanié doprowôdzëło bë do nadpsaniô '% 1' przez samegò se. Proszã pòdac nowé miono:
2235	Pakiety skompresowane	Skòmpresowónô wielëna paczétów
2236	Opinie Last. fm	Profil Last. fm
2237	Nie można pobrać skryptu konfiguracji pośrednikaName	Skript kònfigùracëji pòstrzédnika ni mòże bëc zladowónyName
2238	SAM - Administracja systemuName	SAM - Sprôwianié systemëName
2239	Wyrównanie poziome między pojemn.	Wërównianié hòrizontalné midze zabiérnik.
2240	Wprowadź nowy pseudonim:	Wpiszë nowé tacëwné miono:
2241	Pokaż pełną ścieżkę do dokumentu w pasku tytułowym okna	Wëskrzëni całowną stegnã aktiwnegò dokùmnetu w titlowi listwie
2242	Zaawansowane ustawienia tła	Awansowóny nastôw spòdla
2243	Nie można otworzyć pliku% 1.	Nié mòże òtemknąc lopka% 1.
2244	Upłynął czas na połączenie ze zdalnym serwerem	Ùpłënął czas na sparłãczenié z daleczim serwerã
2245	Gatunek / Wykonawca	Zort / Artista
2246	Odcienie _szarościimage-convert-action	image-convert-action
2247	Wznów indeksowanie Strigi	Biéj dali z indeksownikã lopków Strigi
2248	Nie można odczytać informacji o klasie% 1.	Nie mòże òdczëtac wëdowiédzë ò klase% 1.
2249	Przewodnik asystenta raportowania błędów@ info/ rich	Prowôdnik asystenta rapòrtowaniô felów. @ info/ rich
2250	Azja/ Taipei	Azëjô/ Taipei
2251	Przeskok górny (w pikselach)	Przeskók górny (w pikselach)
2252	Łatwy w użyciu system kontroli wersji oprogramowania	Letczi w ùżëcym system kòntroli wersji
2253	"Jeśli ta opcja jest włączona, użyty zostanie domyślny brzęczyk systemowy. Spójrz do modułu Centrum Sterowania ""Brzęczyk Systemowy,"" by skonfigurować właśnie dzwonek systemowy. Zwykle jest to po prostu ""biiip."""	"Eżlë na òptacëjô je włączonô, brëkòwóny òstónie domëszlny systemòwi brzãczk. Zdrzë w mòdule Centróm Kòntrolë ""Systemòwi brzãczk,"" bë skònfigùrowac prawie systemòwi brzãczk. Zwëczajno je to ""bup."""
2254	Odśwież wszystkie dokumenty w kartach Może to być potrzebne do uwzględnienia zmian, wprowadzonych już po wyświetleniu stron.	Zladëjë wszëtczé dokùmentë znowa w kôrtach To mòże bëc pòtrzébné do uznaniô zmianów, wprowadzonëch ju pò wëskrzënieniu starnów.
2255	Dopracowanie dźwięku	Robòtë nad zwãkã
2256	% 1 - Rozmiar ekranu	% 1 - miara ekranu
2257	Odśwież buforowaną konfigurację systemową.	Òdswiéżë cache kònfigùracëji systemë
2258	Użyj przycisku lupy do powiększenia rozmiaru czcionek na stronie WWW.	Brëkùjë knąpë lupë do zwikszaniô miarë fòntów na starnie WWW.
2259	Tekst aktywny	Aktiwny tekst
2260	& Inne...	& Jinszé...
2261	Narzędzie dostępności systemu KDE	Nôrzãdza pòmòce przistãpù KDE
2262	Otwórz folder zakładek w kartach	Òtemkni katalog załóżków w nowich kôrtach
2263	Ostatnie dokumenty	Slédné dokùmentë
2264	Składanie i zarządzanie oknami	Ùsłëżnota sprôwianiô sëłą
2265	Ta opcja pozwala przeszukać indeks plików tworzony przez program slocate. Pozwala to przyspieszyć wyszukiwanie, ale indeks musi być uaktualniany od czasu do czasu (poleceniem updatedb).	Ta òptacëjô pòzwôlô przeszëkac indeks lopków robiony przez programã slocate. Pòzwôlô to przërëchlëc szëkbã, leno indeks mùszi bëc aktualizowóny co sztërk (pòlétã updatedb).
2266	Pamięć nieaktywna	Nieaktiwnô pamiãc
2267	Nieprzezroczyste obrazki elementów interfejsu	Nieprzezérné òbrôzczi dlô widżetów
2268	KigPartGenericName	Mòduł KigPartGenericName
2269	Ocean_ Spokojny/ Tahiti	Spòkójny_ Òcean/ Tahiti
2270	Nakładka	Nakłôdk
2271	& Jeden gracz	& Jeden grôcz
2272	Rozjaśnij	Rozwidnianié
2273	Ten serwer nie obsługuje TLS	Na serwera nie òbsłëgùjë TLS
2274	Logo: logo area	Logò: logo area
2275	Użyj słowa poniżej	Brëkùjë słowa niżi
2276	W poleceniu można zawrzeć kilka znaczników, które zostaną zastąpione odpowiednimi wartościami przy uruchamianiu programu:% f - pojedyncza nazwa pliku% F - lista plików, należy jej używać dla programów, które mogą otwierać kilka lokalnych plików jednocześnie% u - pojedynczy URL% U - lista URL- i% d - katalog otwieranego pliku% D - lista katalogów% i - ikona% m - mała ikona% c - nagłówek	W pòléce dac mòżna czile znaczników, jaczé òstóną zastãpioné gwësnëma wôrtoscama przë zrëszenim programë:% f - pòjedynczé miono lopkù% F - lësta lopków, nót ją brëkòwac dlô programów, chtërne mògą òtmekac czile môlowëch lopków razã% u - pòjedynczy URL% U - lësta URLów% d - katalog òtmekanegò lopkù% D - lësta katalogów% i - ikòna% m - mała ikòna% c - nagłówk
2277	6 MB lub więcej	6 MB abò wicy
2278	Zapisz bieżącą pozycję	Trzëmôj terné & pòłożenié
2279	Ręczna konfiguracja pośrednika	Rãcznô kònfigùracëjô pòstrzédnika
2280	Grecki rozszerzony	Rozszérzony grecczi
2281	Użyj systemu dźwięku & KDE	Brëkùjë systemë zwãkù & KDE
2282	Wybierz użytkownika, który otrzyma negatywną autoryzację.	Wëbiérzë brëkòwnika, chtëren dostónié negatiwné ùdowiérzenié.
2283	"Kombinacja klawiszy% 1 została przypisana globalnemu działaniu ""% 2"" w% 3. Czy przypisać ją zamiast tego aktualnemu działaniu?"	"Zestawienié klawiszów% 1 òstało przëpisóné globalnemù dzejaniô ""% 2"" w% 3. Przëpisac je w môlu biéżnegò dzejaniô?"
2284	Używaj Amaroka jako samodzielnej nakładki na twój serwer Ampache. To pozwoli ci na przeglądanie i odtwarzanie całej zawartości Ampache z Amaroka.	Brëkùjë Amaroka jakno jedny le nôkładczi na twòją serwerã Ampache. To pòzwôlô ce przezérac ë grac całą zamkłosc Ampache brëkùjącë Amaroka.
2285	Nie udało się przetworzyć danych obrazu awatara.	Ni mòże wëdostaw wëdowiédzë z Wikipediji:% 1
2286	Najmniejsza wspólna wielokrotność	Nômniészô wespólnô wielenô
2287	Wyższa suma ogólna	Wëższé òglowé pòdrëchòwanié
2288	Poufne	Dowiérno
2289	Nieprawidłowy numer faksu.	Lëchi numer faksa.
2290	Umożliwia wykonywanie skryptów napisanych w Javie, znajdujących się w kodzie witryny. Niezależnie od przeglądarki, włączanie obsługi Javy stanowi potencjalne zagrożenie.	Dôwô mòżnota brëkòwaniô skriptów napisónëch w Javie, nachôdôjącëch sã w kòdze witrinë. Niezanôléżno od przezérnika, włączanié òbsłóżënkù Javë je problematiczné dlô bezpiekù.
2291	Korekcja koloru	Kòrekcëjô farwë
2292	360x360dpi, zwykły papier, odcienie szarości	360x360dpi, zwëkòwi papiór, cenie szaroscë
2293	Zasilacz: nie podłączony	Sztrómòwi kabel: niéwëtkniãti
2294	SinhalaQFontDatabase	QFontDatabase
2295	Zadanie	Robòta
2296	Żadna usługa o nazwie% 1 nie jest obecnie wczytana	Niżódnô ùsłëżnota ò mionie% 1 nie je terô zaladowónô
2297	Automatyczne wstawianie zakładekComment	Aùtomatné wstôwianié załóżkówComment
2298	Włączona czcionka	Włączony fòntë
2299	Tworzy nowy widok dla bieżącego obrazuimages-action	images-action
2300	& Motyw	& Téma
2301	Brak dopasowania barwy	Felënk dopasowaniô farwë
2302	Koder Ogg Vorbis dla K3bComment	Kòder Ogg Vorbis dlô K3bComment
2303	programista (wyświetlanie HTML, JavaScript)	Ùsôdzca (wëskrzënianié HTML, JavaScript)
2304	Konfiguracja nawigacji w menadżerze plikówName	Kònfigùracëjô nawigacëji menadżera lopkówName
2305	Auto- rozmieszczanie pasków tytułu	Przeniesë aùtomatno listew titla
2306	Autokonfiguracja pośrednikaName	Aùtokònfigùracëjô pòstrzédnikaName
2307	ECMA- 262 Edition 3 (mniej więcej Javascript 1. 5)	ECMA- 262 Edition 3 (mni wicy Javascript 1. 5)
2308	Port:	Pòrt
2309	Uruchom tylko testy. html	Zrëszë le testë. html
2310	Zastrzymaj drukowanie	Zascëgôj Drëkòwanié
2311	% 1 (Częściowa)	% 1 (Dzélama)
2312	Wyłącz & sprawdzanie konfiguracji systemu przy uruchamianiu	Wëłączë & sprôwdzanié kònfigùracëji systemë przë zrëszanim
2313	Właściwości widoku dla wszystkich katalogów zostaną zmienione. Czy chcesz kontynuować? @ option: check	Swòjiznë wëzdrzatkù wszëtczich katalogów òstaną zmienioné. Chcesz kòntiuòwac? @ option: check
2314	Przyciemnij	Cemnienié
2315	Fotograficzny szybkoschnący	Òdjimny chùtkòschnący
2316	Utwórz płytę Video CD za pomocą K3b... Name	Ùsôdzë lopkòwi projekt z pòmòca K3bName
2317	Podajnik papieru PF- 17	Pòdajnik papióru PF- 17
2318	Tolar słoweńskiName	Sloweńsczi TolarName
2319	WęgierskiName	MadżarscziName
